JSP Vehicle,GSP Vehicle,Seradata Vehicle,Family,Country,Class
Chang Zheng 1,CZ-1,,Long March 1,China,Small
Feng Bao 1,FB-1,,DF-5,China,
Chang Zheng 2C,,,Long March 2C,China,Medium
,CZ-2A,,Long March 2A,China,Medium
Chang Zheng 3,CZ-3,,Long March 3,China,Medium
Chang Zheng 4,CZ-4,,Long March 4,China,Medium
Chang Zheng 2E,CZ-2E,,Long March 2E,China,Medium
Chang Zheng 2D,CZ-2D,,Long March 2D,China,Medium
Chang Zheng 3A,CZ-3A,,Long March 3A,China,Medium
Chang Zheng 3B,CZ-3B,,Long March 3B,China,Medium
Chang Zheng 2C-III/SD,CZ-2C (2) SD,,Long March 2C,China,Medium
Chang Zheng 4B,CZ-4B,,Long March 4B,China,Medium
Chang Zheng 2F,CZ-2F,,Long March 2F,China,Medium
Chang Zheng 4C,CZ-4C ?,,Long March 4C,China,Medium
Chang Zheng 3C,CZ-3C,,Long March 3C,China,Medium
Chang Zheng 2FT1,CZ-2F/T,,Long March 2F,China,Medium
Kuaizhou,Kuaizhou-1,,Kuaizhou,China,Small
Chang Zheng 3C/YZ-1,CZ-3C/G3Z,,Long March 3C,China,Medium
Chang Zheng 3B/YZ-1,CZ-3B/G3Z,,Long March 3B,China,Medium
Chang Zheng 11,CZ-11,,Long March 11,China,Small
Chang Zheng 5/YZ-2,CZ-5/YZ2,,Long March 5,China,Heavy
Kuaizhou-1A,Kuaizhou-1A,,Kuaizhou,China,Small
KT-2,Kaituozhe-2,,Kuaizhou,China,Small
Chang Zheng 7,CZ-7,,Long March 7,China,Medium
Chang Zheng 6,CZ-6,,Long March 6,China,Small
Chang Zheng 2C/YZ-1S,CZ-2C (3) YZ-1S,,Long March 2C,China,Medium
CZ-3B/YZ1,,,Long March 3B,China,Medium
CZ-2D (2),,,Long March 2D,China,Medium
CZ-3B/G3Z,,,Long March 3B,China,Medium
CZ-11,,,Long March 11,China,Small
CZ-3C/G2,,,Long March 2D,China,Medium
CZ-2D (2) YZ-3,,,Long March 2D,China,Medium
CZ-7/YZ1A,,,Long March 7,China,Medium
,CZ-7/YZ1A,,Long March 7,China,Medium
,CZ-3B/YZ1,,Long March 3B,China,Medium
,CZ-2D (2),,Long March 2D,China,Medium
,CZ-3C/G2,,Long March 3C,China,Medium
,CZ-2D (2) YZ-3,,Long March 2D,China,Medium
,CZ-3B/G3,,Long March 3B,China,Medium
,CZ-11H,,Long March 11,China,Small
,Hyperbola-1 (Shian Quxian-1),,Shian Quxian,China,Small
,CZ-2C (3),,Long March 2C,China,Medium
,Jielong-1,,Jielong,China,
,CZ-3B/G2,,Long March 3B,China,Medium
,CZ-4C,,Long March 4C,China,Medium
,CZ-5,,Long March 5,China,Heavy
Ariane 1,Ariane-1,,Ariane 1 ,Europe,#N/A
Ariane 3,Ariane-3,,Ariane 2,Europe,
Ariane 2,Ariane-2,,Ariane 3,Europe,
Ariane 44LP,Ariane-44LP H10,,Ariane 44,Europe,Medium
